labels,text
__label__1,"Got the wrong one.: The tubing cutter I ordered is not the one I received. Yes, I know what you are thinking, just return it. Well, I don't have the time or the patients for that. Watch out for this store, I would not buy from them again. The cutter I got is not a nice as the one in the picture. It does work, but it is not a professional tool like the one listed."
__label__2,great coffee: No complaints at all. Easy to use and makes authentic espresso. You will need some smaller (around 2 inch tall) cups.
__label__1,"Hugely inaccurate: It doesn't take long to find errors in this book: just read the wholly inaccurate plot synopsis of The Last Picture Show, which is hardly obscure or difficult to find on video, and thus would have been easy to check.Or how about the reference to a film receiving an R rating from the MPAA *several years prior to the establishment of the MPAA's rating system*?Had this been a book of insights or analysis, a few such lapses might have been forgivable. But this is a dry reference work, with little interpretation by the author: and dry reference works require a higher standard of accuracy."
__label__2,"A Must for Pumping Moms: These bottles are great and super easy to use and clean. My one grip is that they're somewhat costly, especially considering that I store 10oz of milk a day, which equates to 4 bottles (each bottle is 2.5oz). If I didn't also use the plastic Medela freezer bags, I'd have to purchase a box every three days."
__label__2,"The Game is Good: I been waiting for this one, especially after Long Time No See. I guess after not knowing what to expect from that cd, I was surprised how good it was and now I'm holding up even higher expectations for whatever Chico does. But judging this new one on its own, it's a strong follow-up, and still better than alot of stuff that passes as soul these days."
__label__1,"What a disappointment! Embarassingly bad.: It seems to me that D. Icke is trying to start a franchise. This book is downright bad. His research (unlike ""the truth shall set you free"") is minimal.He dedicates over two chapters to Babylon and Phoenicia, from which he then derives most of his later conclusions. However, both chapters are WRONG. In fact, ""purposely inaccurate"" is more like it. At times, he quite deliberately mixes and matches words and place names to confuse the reader and create false impressions to support unsupportable theories.I think that this book was simply written because the public expected one. I have personally lost all respect towards mr Icke."
__label__1,"Didn't grow: I don't care for this mushroom kit. When it was time to open the bag it came in, the mushrooms started to form in all different colors, not like a shiitake mushrrom is suppose to be. I had to throw it away due to concern about what kind of mushrooms they really are."
__label__2,"REVEALING BOOK: This book explained everything that comes from God himself, few of them are magical, meditative, practical. It reveals the secret of microcosm unto macrocosm by the use of numbers. As a whole this explained everything which is hidden."
__label__2,Needs to be bigger so I can use it: She loves it (6mos). She often falls asleep in it and has recently started playing with the bird and gecko animals that hang down from the leafs.
__label__1,This CD gave me a headache: Don't get the CD just for the song FLY. You will be disappointed. It's so much of a head banger I refused to place it in my CD carasel. I could not even listen to any of the other songs completely through.
__label__2,"stop wasting money on other lipsticks you don't use!: I'm a very fair-skinned woman of 60-something, and have always worn sheer or little-colored lipsticks -- much color makes me look hard -- so I ended up putting most of my buys in a drawer, to maybe use later -- and I have a drawer full of money I've wasted. A few years ago I found Youngblood glosses, and even though I pay a lot when you count the shipping, I actually save money because now I'M ACTUALLY USING WHAT I BUY! Love the 'Tantalize' color. Highly recommend."
__label__1,Item not as advertised: I ordered a hi-lift jack mounting system and while the shipment was extremely fast (less than 24 hours). I am extremely upset that this product came missing 90 percent of the parts that were supposed to be inside the package. The product was supposed to come with two mounting brackets and all hardware to mount the system. When i opened the box inside the packaging the only thing that was inside was ONE mounting bracket and the velcro strap. What am i supposed to do with one mounting bracket. And you sold this product for only 5 dollars less than the new ones. I guess thats what I get for trying to get a deal. This was my first purchase through here for my jeep and I was planning on buying many more things from here but if I am only going to get products that are incomplete you can bet I will not buy from warehouse. And as far as your quick delivery you can bet that my shipment will be equally as fast because I am going to UPS right now to send it back to you for my refund.
__label__2,"a fun book: Colin has been dumped 19 times by girls named ""Katherine"". Colin, who's a prodigy but not a genius, wants to create a math theorem predicting outcomes of romantic relationships.Colin and his friend Hassan are both city folk, and they go on a road trip to a small town to brighten Colin's spirits. Colin and Hassan are quirky, and the quirk factor increases when they collide with the residents of Gutshot, Tennessee.There are a few math formulas and graphs in the book, but they're not daunting. I haven't been a math person since college, and I didn't mind the trig or calculus or whatever it is interspersed in this novel. This is a fun book and I look forward to reading more John Green."
__label__2,"Cant wait: Jurassic Park the book and movie were my favorite things to read and watch. Im pre-ordering this the moment i get the money, cant wait for it get here."
__label__2,Watched 2 Times now will watch again: The world of Hunger Games is so picturestic that I feel like I'm actually there watching what goes in between the actual game and outside in the sidelinwe. it's very interesting and is another window of the book Hunger Games
__label__2,"Dog apprehensive at first give it time: My dog is a toy maltese about 4 lbs. She didn't know what to do with the stairs at first so I started putting small treats on each step. I also walked her up and down a few times so she got used to them. She still refused to use them after all that, so I just left the stairs up each night just in case. Finally one night I heard her slowly going down the steps and then back up. Now she runs up and down them without hesitation :) The stairs are very easily folded and stored when not in use, which is a nice feature!"
__label__1,"I returned the item to the store after 2 months: I purchased the ss-5000 at Kohls on sale for $40.00 in November 2006. Didn't use it until Christmas. I recently returned the item to the store after 2 months of use. The volume knob didn't work right and the time would jump back two hours from 9 PM until 4 AM.My volume knob had a good usable range for one month, then it started going only from loud to louder. It would go back to normal by jiggling it. I contacted Homedics only to find out that they had no plans of ever fixing these design flaws. I won't be purchasing it again. Too bad it didn't work, I can't find another alarm clock with outside temperature for $40. I guess there is a reason for that."
__label__2,KING BACK....YA DAMN RIGHT: This CD/DVD is off the hook man i just got it today it was only one copy of the Limted Edition left I'm glad I got it. T.I. really put it down on this one I have all his cd's and could not wait for this joint ever since i heard he was coming out with KING in January. From 1. King Back to 18. Bankhead I cant stop listening to it all the tracks are hot and T.I.'s flow is still sick his flow gets better with each new cd with ATL in theaters and this CD 2006 is this dudes year 4 real
__label__1,"NOT REALLY WHAT I WANTED OR NEEDED: I have been working with gourds for quite a few years now, something like over thirty. There was very little in this work I found to be useful. I am sorry to say I agree fully with another reviewer here who was less delighted with this particular work that probably I am. I did give it two stars simply for effort though. I strongly suggest you search further as there are quite a large number of books out there that are of better quality and certainly more worth the money spent."
__label__1,"PS3 won't read the Blu-ray: I purchased Taken on ecom.com shipped and sold from them. My PS3 SlimPS3 320GB Uncharted 3 BundleandPlayStation 3 60GB Systemwouldn't read the disc at all yet they both will read other Blu-ray's, DVD's, and PS3 Games fine. This maybe could a bad batch that ecom has. I am going to Best Buy tomorrow morning and buy a copy from there. I will update this review once I test Taken. ecom.com customer service has really understanding of this issue."
__label__1,nope: DVD wouldn't play in my players due to scratched disc. A total waste of everything involved with this transaction. It sucks.
__label__1,"Too good to be true: I was really excited to see the price on this card, however, once I tried putting in my phone, I was unable to format it because my phone did not recgnize the card. So, whenever I added files to it, they wouldn't be there the next time I turned on the phone or took the card out. I had to go to my service provider and get a card from them. Be careful, if something is too good to be true, then it probably isn't"
__label__1,"Waste: This album is a disgrace. The Stones are obviously trying to fill some contractual obligation (it was also a contractual obligation that led the Stones to record and release the rarity ""Co**sucker Blues"" which, ironically, is left off this album).By the way, Bill Wyman has been airbrushed out of the picture used for the album's cover. That's loyalty for you.Save the cash that you plan to spend on this album and give it to a Hurricane Katrina charity."
__label__1,"Did not receive the correct book from company: I ordered this book from cmuweb out of Minneapolis, MN. Too my surprise I didn't get it in the mail but a totally different book. The book I got was Lithuanian-English/English-Lithuanian Dictionary, with a totally different ISBN # and the picture on this site, it isn't even the same book. I wrote webbooks@umc.edu and I am hoping they will correct the error, so then I can really write a review the book I really ordered. I was really looking forward to start learning phrases, so I could practice on my Lithuanian friend. My shipping paper that came with the book said the correct book....but it sure wasn't the book when I was looking at it.....I was wondering what happened to the phrases????? Hope they correct this order. Thanks for reading."
__label__1,"DON'T PURCHASE FOR USE WITH A MAC: I recieved this from my wife for christmas, and three weeks later I have still been unable to even use it. I followed all of the instructions to load the driver and the mac doesn't even recognize it. i went to epson web site and downloaded a ""revised"" download driver (after deleting the one that came with the printer) but the mac doesn't even recognize it in it's printer utility. I have e-mailed epson three times, but all i've gotten thus far are the dreaded ""automated"" responses. Very dissapointing. i wish she would have purchased a new HP. i was able to load my old worn out hp business inkjet 2200 onto the mac with no problem!"
__label__1,"insufferable and self-indulgent: I don't care what any of the die-hard fans say, this album sucks. If you're expecting any kind of reasonable follow-up to OK COMPUTER, look elsewhere. Gone are the moments of beautiful vocals and anthems you can immerse yourself in...this is the kind of album I would listen to back in art school and pretend to enjoy. Do yourself a favor and pick up something like RED STARS THEORY new release, ""Life in a Bubble Can Be Beautiful."" It at least strives for sustained moments of blissful listening. RADIOHEAD won a grammy and now they need to prove to themselves that they're not mainstream, and we, as the audience, are forced to suffer through a full-length CD which will be quickly forgotten. If this were their first release, it would also be their last. Letting this trash grow on you simply means you've accepted the idea of lowering your standards.I'd give it zero stars if I could."
__label__1,"General network, and not specific enough for modern equipment: The book didn't provide much help explaining the ethernetand internet settings on a computer or router.The following terms could not be found in the book:DDNS (Dynamic Domain Name System)Dynamic or static IP address,Virtual Server/Port Forwarding,PPPoA (Point-to-Point Protocol over ATM),PPPoE (Point-to-Point Protocol over Ethernet),RFC 1483 encapsulation,NAT (Network Address Translation)VCI (Virtual Circuit Identifier),VPI (Virtual Path Identifier),UPnP (Universal Plug and Play).Terms that are covered include:DHCP (Dynamic Host Configuration Protocol),DNS (Domain Name System),Gateway,MAC address (Media Access Control),MTU (Maximum Transmission Unit),Point-to-point in general,RIP (Routing Information Protocol),Subnet Mask."
__label__1,"Needs to a get editor and take a political science class: The book is written much like a textbook- fragmented dates and facts without causation, or connecting the dots. She does not research the people that is pointing her finger- otherwise she would realize that John Dewy was in fact AGAINST spilting the high school system into liberal arts and making the masses go into vocational traning. If she had read the School and Society she would see that her complaints about the school system are not the schools that John Dewy visiualized. She completely leaves out Woodrow Wilson ties to the process. DO NOT SPEND YOUR MONEY ON THE BOOK- it will piss you off when you resale it for 5.00!!!!"
__label__2,"DeNiro shines in unlikely role in historical film: This is a highly enjoyable epic film. DeNiro is his usual captivating self only this time instead of being an Italian gangster or wise guy in the 20th century, his character lives in 18th century South America.I enjoyed this film because I am a DeNiro fan and I enjoy his style of acting. It was pleasing to see him attempt a different type of role.If you're a DeNiro fan, check this one out"
__label__2,Superb title for Mars Images and Advanced Image Processing: This book explores the fundamentals of image processing as applied to satellite photography. The author also details the processing of the images of constructed features on the surface of the planet Mars. Mr. Carlotto was able to demonstrate in very easy terms the methods used to illuminate these breathtaking images. I eagerly await any book from this author on the latest set of images taken in 1998.
__label__1,"waste of money: Don't buy any monster cable or any other expensive HDMI cable...they are a waste of money...you will get the same picture quality from a 5 dollar cable. That's the true, no doubt about it."
__label__2,"movie: i chose this rating cause i love this movie, it has lots of action. the movie came on time. thanks"
__label__1,"Phone Number Inactivated Without Notice: I've used my TracFone for 3 years and never had any problems. I currently have over 722.5 minutes and a contract date which allows me to have the number until 10/28/09. I was so happy with my TracFone prepaid service and suddenly, my phone number was no longer in service. I had done nothing but buy over $135.00 worth airtime in May '07 and suddenly, my phone number was no longer active. After spending over 3 hours on the phone with TracFone, they claimed there was nothing they could do for me. I considered this a breach of contract and was out of cell phone service and money."
__label__2,"fly cutter: The product worked just like i needed it to. the measuring part was a bit off, but with careful measurements I was able to get it to close tolerances."
__label__2,"Reality: This movie portrays the ""real"" life situations of self-seeking self-autonomous relationships that spiral uncontrollably towards divorce when married couples seek to control the relationship or change their spouse. While some of the references to sex seemed to be added for shock effect, the reality is that without some sense of ""us"" guiding a relationship the reality is the meaningless and vanity that the husband and wife experience in most of this movie.Some cheesy scenes and: (1) Who sends their kids to camp all summer and (2) Who believes their kids are oblivious to their parents marital problems?In the end, though, the recognition of communal fellowship grounded in the other brings hope to the tyrannical, self-consuming, and chaotic relationship which is symptomatic of current American society."
__label__2,"Grant Co wins again: This is a great series of books. I have never been disappointed with Karin Slaught's Grant Co books. I recommend that you read the book preceeding this one. But, they are all good reads."
__label__2,"A joyful music experience: Don Immel's debut solo album Long Way Home reveals his talent as one of the best trombonists in the world, equally at home playing jazz, classical, pop and more. In Long Way Home, the trombone is brought back into the foreground as a lead instrument, whether in smooth jazz or soft techno complemented by electronica (now known as the chill music genre). The soul-stirring tracks are ""Long Way Home"" (3:57), ""Fool's Full Quiver"" (4:29), ""See the Memo"" (5:05), ""Whole Lotta"" (5:21), ""Still in Love"" (4:46), ""Lemonade Alchemy"" (4:45), ""Leaving Paradise"" (4:18), ""Dualife"" (6:08), ""Charm Offensive"" (3:46), and ""Last Dance"" (3:01). A joyful music experience especially recommended for anyone interested in discovering the full soundscape capabilities of the trombone for themselves."
__label__2,"Good overall, but not for people with small heads.: This is a good headband. It's light and comfortable. I was expecting it to have more stretch though. I would not recommend this product to someone with a small head. I have a small head and when I wear this during my runs it often slips down my forehead or slips down the back of my hair. I still chose to wear it over nothing though."
__label__1,"Unfortunate: The earrings are nice indeed. Unfortunately, not safe at all for small girls, since they easily get lost. The safety pin, or however it is called, gets off too easily. And I am not talking about her touching the earring, but simply doing a normal girls life. I had to intensely look for one earring at least twice, as it got lost, until I finally lost it for good! and I am talking about not having used the earrings more than two weeks. Too expensive to loose them and to have lost them so easily!!! I could not even get to prove whether they were actually hypo-allergenic or not since my girls would usually get allergic of gold earrings after weeks or months!"
__label__2,blue planet: Fantastic. How amazing and what great things are found and continue to be found in this small and unque part of God's creation.
__label__2,"my first Bosch book: This was my first book by the author and for me it was a good read. I'd recommend this to anyone who likes good page-turning suspense. I wasn't aware this was the latest of a series, but that didn't bother me. Some of the plot development towards the end didn't garner four star ratings, but the writer is so good at what he does I could see myself re-reading this book in the future. Very Good!"
__label__1,"broke in less than three weeks: At first, I was very impressed with this item. Then, it suddenly died and does not work anymore. I had recycled the original packaging literally 12 hours before (after holding on to it for a while to be sure that everything seemed to work) and thus cannot return the item. I feel ripped off. The business which actually shipped it said that I could try to send it back to Honeywell, but I know that I'll end up investing more time in the process than the item is actually worth. Honeywell screws Jersey City once again! (They polluted our community with chromium--think Erin Brokovich--and refuse to clean up or foot the bill for cleanup)"
__label__2,It touched my life in a special way!: I loved this book with all my heart cuz I realized that I too am just like the dog! we have so much in common ! While he was learning new smells and how to bark I was learning about myself and how to live my life. I hope R.L. stine will right a sequal so I can see if sparky finds his way home! I hope he does because I love that little guy!
__label__2,"Ultima is almost the Ultimate!: I gave this machine to my wife for Christmas and it has been a wonderful addition to our kitchen. I only have one minor complaint, in that it only runs steam for 90 seconds before having to prime the pump - which only takes a minute or so - to get steam again.I would wholeheartedly recommend this espresso machine to anyone looking for a good machine at reasonable cost"
__label__1,"Confusing at best: For someone who never used drugs, this book is incomprehensible. It may make sense to those who have--and perhaps the author was on a trip when he wrote it.Suffice it to say that the protagonist's drug-induced revelations about his father, cameras, abduction victims, South America, refrigerators, lakes and all seemed unconnected. It was one of those rare mysteries that I abandoned at the 230-page point, unable to find a reason to continue."
__label__2,"masterpiece: A stunning exhibiton of humankind. A masterpiece that's worth, without any doubt, spending $40.Carlos Costa"
__label__1,"Unfortunate: Thought this unit would do it for me. I am retiring my Onkyo R-1 after 22 years service. It has started skipping, and the drawer mechanism is less than ideal. Single drawer stand alon players are getting hard to find, at least at this price. The unit sounded great; better than the old unit. I played several different cd's right after it arrive. Played great...for about an hour. Then it became progressively more distorted. I was listening through phones. I pulled them out and listened through the amp. Same thing. Through the speakers...same thing. Then it wouldn't move to the next track. Eventually, it would only display the track listing. And nothing more. Very disappointing, TEAC. I sent it back the next morning..."
__label__1,"For those with 9 cup food processors...: The juice extractor does FIT the 9 cup fp, as Kitchenaid says, however, it doesn't actually WORK with it. The attachment sits in the bowl just as it should, it spins around, but the food pusher does not reach down far enough to actually make juice out of your veggies. Whatever you drop in will simply go straight through without scraping the bottom, as Kitchenaid says it should, and then spin around like mad without making juice. I spoke with Kitchenaid a couple of times and I am sending it back. I even tried putting in larger chunks but it just won't hold them in place because the pusher and tube extender are not long enough. I also tried a wooden spoon for a pusher but it didn't help due to the shortness of the tube. Bottom line, no matter how bad you want this extractor, like I did, don't get it for a 9 cup processor."
__label__2,"Thoroughly enjoyed it: Well, I DID enjoy this book! I took it for its entertainment value and was happy to read more about Grace, Joe and Lane in the sequels, even though they weren't the main characters in later novels.I was worried in all the right places, laughed where I was meant to laugh and wasn't disappointed in the plot."
__label__1,"Contains negligent misleading information: I bought an earlier edition of this book, along with Hiking Wyoming by the same publisher.I didn't get to either of those states yet to try out any of the hikes but I did notice that both books contain the identical information about bears -they don't distinguish between black and grizzly bears and the advice they give is TOTALLY WRONG for black bears and likely to get someone killed!They clearly didn't do their research properly (if at all) in this case - I hope the rest of the book is better quality!"
__label__1,The Birds by Tarjei Vesaas: I did not read this book until after I had it for a while and when I did read it page 217 was backed by page 220.When I wrote to Tartan Frog and complained they refused to do anything about it because it was so long before I noticed the page missing. I will not use them again. The story was fine I just wish I had a perfect book.
__label__2,"Can't Beat the Price, Can't Beat the Fun: An activity center for only $6.99? I always count on Sassy to produce fun, cool-looking, reasonably-priced toys for my seven-month-old son. But even for Sassy, this toy is a steal. Even better, unlike his other activity center which cost four times as much, my baby actually enjoys all four of the activities on the toy. There's a cylinder with colorfall balls that roll around, a squeaky smiley face, a bell and clapper that ding, and best of all, a gearshift which makes a very satisfying ""scrunch scrunch"" sound. Even though my son is still fairly uncoordinated, he can make most of the activities work just by swiping at them (he still needs some help with the squeaky smiley face). One note of caution -- this is definitely not a highchair toy. This toy packs a whollop when it's dropped (I know, the hardwood floor in my kitchen now has a big choink gouged in it). As long as you confine this toy to the floor, you and your baby are in for a lot of fun."
__label__1,"God must be American...: I couldn't relate to this book. If God were talking & wanted the 'world' to read his book ..he'd have given examples that touched a chord with all humans.Seems to me that he speaks Enlish, follows american politics ...and just about everything else falls in to 'eastern theory' or 'eastern mystics'..he should know theres no east ..theres India, theres China, theres Japan..they all have their distinct philosophies.I am pretty certain if God were talking I'd be able to relate to him...Unless of course God wrote this book for Americans...maybe theres book 6 or 7 for the rest of us."
__label__2,"Nitzer Ebb at their pinnacle....It's Showtime!: Nitzer Ebb really came all together with their third album Showtime. Leave it to the band to come out with some moretunes that'll blow your mind. Depeche Mode-on-crackarrangements and musical parameter changes (""Getting Closer"", ""Fun To Be Had""), Showtime was the right move to pickup where Belief left off.I could imagine David Lynch usingsome Ebb music in, atleast, 1 of his films. This cd, in particular, sounds likeit can work as lounge music or something to pop in the player after a night of hanging out.""My Heart"" is their best cut here, especially two-thirdsinto the track when it's just total chaos of overlappinglyrics and sonic assaults. This was arguably their peak. However, this stuff sounds just as cool and fitting today asit did back in 1990. Enjoy the Show!!!"
__label__1,"'Comic', apparently.: There are some people who try to reclaim 'Nadja' - along with Abel Ferrera's 'The Addiction', the most stultifyingly pretentious film ever made, bludgeoning the audience with Wim Wenders-like globs of pseudo-philosophical gabble and supposedly 'arty' screes of visual incoherence - by suggesting it is comic. Making humour of what, exactly? Of horror films? You have to know what horror films do before you can mock them, and director Almedeyra hasn't a clue. American indie films? Probably, but it replicates that mind-numbing mindset so faithfully, it forgets to be funny about it. Students, whose existential angst and elevated notions of 'beauty' find expression in My Bloody Valentine records? Definitely. Elena Lowenstein as Dracula's daughter is so gorgeous in her designer Grim Reaper cape, she may even replace Death from 'The Seventh Seal' as my iconic nightmare of choice."
__label__1,"They blew it: I ordered this item on Friday, December, 16 and paid for the expedited shipping in order to recieve the item in time for Christmas. They didn't ship it until the following Tuesday and then yesterday I got an e-mail that the item was dropped and damaged while they were packing it. I'm not sure whether they're simply too incompetent to stick a horn in a box or whether they never intended to sell this item for the listed price. I'm absolutely sick about not being able to have this saxophone under the tree for my wife this Christmas."
__label__1,hip hop is dead: who told k fed he could rap what was brit smoking when she spent money thinking k fed was gonna make it as a rapper it's plain that both was smoking some serious crack how else could this cd see the light of day.
__label__1,"My five year old has better writting skills...: This book was the worst written piece of tripe I have ever had the displeasure of reading. I love vampire books, but this had plot holes big enough to drive a Mac truck through. The character depth was as shallow as a puddle. I would recommend this book to anyone who had a fascination with torturing themselves."
__label__1,Horrible Company: WeatherTech is the same as MacNeil Automotive. They are a horrible company that has zero customer support and do not know what they are doing.
__label__1,"Panasonic is declining in quality: The cd player not only feels flimsy and cheap, it is flimsy and cheap. This is coming from a 5 years panasonic owner. The player dropped about a foot off the ground from my coat pocket and the the cover went flying off with some other various pieces. To make matters worse, the cover does ot even close now because the locking mechanism is broken. My old panasonic is not only thinner, but its heavier and feels more solid. Everything else works fine, but the build quality is just awful!My old panasonic is not only thinner, but its heavier and feels more solid. The sl-sx420, however, is built to break."
__label__1,"Not That Impressed: I'm giving it 2 stars for several reasons:1. Most of the DVD is in English, not Chinese.2. As a native Mandarin speaker, I'm not that impressed with the quality of Chinese they teach. Some of the phrases they use are rather odd.3. As the other reviewer pointed out, this DVD is rather empty of contents. The whole DVD teaches numbers 1 - 5 and three types of fruits: apple, banana and grapes.I'd have gladly given it 1 star, except that it seems to keep my daughter entertained and she started saying 1-5 in Mandarin since she started watching it."
__label__1,"Worked in the house but not in the yard: This worked fine in my house, however when I moved it outside (within the 25 ft advertised of the trees my dogs bark up because of squirrels) it has not worked at all."
__label__2,"Belkin is great: Love this surge protector. My favorite part is that you can slide shut unused outlets to keep the dust out. The cord corral thing is a nice feature too, although I don't use if often. Also, I live in a very power surgey, power outagey area and have never had any problems. Belkin gives good protection for a reasonable price."
__label__1,"Global Star Un-American: This Canadian company has produced some of the WORST games as far as hardware compatablity is concerned. In fact I have not been able to get a single Global Star game to run on my system.Further, In some of there previously games the games themselves high marks (Global Star's editorial review) for accuracy of the platforms (fighters). And what do I see there an imaginary Mig-42 (it has not been even designed yet). The flight envelope of the F-35 has not been fully explored and is still classified just like the F-22. So how does this Company think IT knows the performance envelope of these fighters.I seriously doubt this game will not have the same issues as previous games by this company. The company recommends a NVidia GeForce Card so this might resolve some compatablity issues. No NVidia GeForce video card? Don't buy the game."
__label__1,"Linksys should be embarrassed!: This product came to me with no drivers. The manual was riddled with errors that made the installation impossible and then to top it all off when I downloaded the drivers they were the wrong drivers!It's only fair to say, I have not had any trouble with the installation or performance of the many other Linksys products that I have purchased but the WDT11 under these conditions should have never been put in a box and shipped."
__label__2,"Entertaining and well done even if it's from a book: Hunger Games is enjoyable. I read all the books and was pleasantly surprised by the movie. I found it very entertaining and there was enough of subtle hints and clues dropped here and there for future movies to make them even more interesting. Definitely recommend. But the books are still better; nevertheless, I have never seen a movie that was better than the book. Enjoyable! :)"
__label__2,"good story but silly chapter headings: I have read and enjoyed a number of books by Earl Emerson. He always has a good sense of place, interesting and sympathetic characters and the fire fighting action and descriptions are great. I like the sense of humor throughout his books but what always bothers me are the goofy chapter titles. They make the whole thing seem too cute or silly. His books deserve better"
__label__1,Sturdy non-functional pile of junk.: I saw one of these knives and just had to have one. should have bought the one with the fixed blade.REtracting this blade is ridiculous.Sure it can be done by working the knob but i cut one piece of drywall and had to loosen it so much to get the blade to move that the knife was ready to pop open. what a joke. Oh and my poor sore thumb from working that big knob!!!
__label__2,"Very enjoyable: As all of David's works, this is a very enjoyable book. The characterization was very believable and the plot pays good homage to the original Imzadi. I preferred the original because of its time travel element. But this sequel is certainly worth a read."
__label__2,"no sap love story: a shocker.: some books/flics deserve our stars because they offer glimpses--a brief moment of participation-- in an ""other"" way of living in this world. i read the scribblings of Charles Bukowski for this very reason.Butterfly Kiss is a serious movie about love. at times frightening, it is a tally of sordid plot, extremely believable characters, and offers a serious chance to view a relationship and things most folks would never care to experience in person. both powerful and disturbing, but very well done. At the close of the movie i remember wanting to see Butterfly Kiss again, tho at the same time unsure that my spirit could handle/endure a"
__label__2,Moderation: Good for Sunday School classes for those churches that do not live in Revelation or refuse to touch it. It does not lead you to an end-time prediction behind every action on earth. Metzger gives detailed and historical insight to every chapter.
__label__1,not worth it: very disappointing. if you want to push the dirt from one area to another this will do it. what it does not do is clean. the pad gets dirty immediately and is useless there after. it also leaves terrible streaks on the floor no matter what. wish i did not purchase it.
__label__2,"Great Bath Toy!: My 2 1/2 yr old has used these on a regular basis for over a year. They are extremely durable. Even after being chewed on, they show no signs of bite marks or any other wear. I have not experienced any problems with mold or other growth inside the toy. I squeeze the water out after each use, then store in a bath toy holder with the animal's 'mouth' facing down so any excess water will drip out. I honestly dont do this every time, and it's still been fine.Great teaching tool. Used them to teach about what each animal is called, what it says. Jokingly ask 'do we eat this animal' to teach about foods. Can be quite educational. Not to mention teaching about water displacement (air replaced with water for squirting).Durable, fun, inexpensive - can't go wrong with these."
__label__1,"$40 + junk = angry customer: This is a faulty and buggy piece of software. It will not run on my PC (XP Home)without me changing my Virtual Memory from 1000 mb to 200 mb...what an absurdity! The developer offers no solution other than to change my VM everytime I want to use their software.Well, forget it. They're not the only game in town."
__label__2,"A Liberal Arts dorm life must read!: This book covers the life of and English/Classics major at a small liberal arts universtiy in Minnessota during the 70's. The best of the fairy tale series books, the fairy element is subtle. The main story is about a young woman's introspective look at herself and college life. Laugh out loud funny at times, the reader really comes to care about this young woman and her friends, throught the narrators honest, and sometimes biting, commentary on life."
__label__2,"Highly recommended!: This book contains a wealth of well presented and organized information, which is not easy to find in texts of similar level. I especially enjoyed the style and clarity of presentation. Outstanding!"
__label__2,Still a great read!: An oldie but a goodie. Students love this story because it shows us that we can all be survivors. This audio version was purchased to help those students who prefer auditory to visual input. A real winner!
__label__2,"Great for Cats!: My daughter had one of these balls. She is taking care of a cat who was overweight. It did not take the cat long to figure out how to get food out of the ball. Since she now has to work for the food, she is losing weight. I bought this ball as a gift for a friend with an overweight cat. Haven't heard back yet as to whether her cat took to it."
__label__1,"Average, boring stuff!: I remember I went to see this in theatres when it first came out. As I was walking into the theatres I saw a large billboard on the wall advertising this film. Scralled across it was the word ""Poop"" in large white letters. And I agree. This movie is poop."
__label__2,GREAT REFERENCE BOOK! GLAD I HAD IT!: I had a pediatrician that wasn't much help on the breastfeeding issue. I didn't know many people who had breastfed and I picked up this book at the store. It was absolutely invaluable to me and I referenced it many times. I now have a healthy 1 year old daughter and I attribute that robust health to giving her the right start in life. I was able to continue nursing her right up to her 1st birthday and I don't think I could have done it without this book.
__label__1,"dissappointed: After following directions perfectly, my ice cream didn't work.If there is something that I am not doing, please let me know.I would love to use this for my extended family, but don't want more embarrassment.I also have a milk sensitivity and would like to try some milk substitutes since I still love ice cream.Thanks for any help or input.J Brown"
__label__1,"of moderate value: The base premise for this book is correct but it lacks sufficient development. Facts need to be checked more closely, ie Beslan. The authors take a subject that does need serious attention and give it a gloss over, granted we do not wish to hand terrorist a play book, but the book should be more detailed on terrorists group, mindset."
__label__1,"If I could do a zero i would: This thing is crap, no bubbles. if only i could send it back. but its already been in the tank. SAVE YOUR MONEY. DONT BUY THIS!"
__label__1,"Pretty simple: I am a big fan of Eion Finn, but I didn't like this DVD too much. It's simply a short workout with standard poses filmed near the beach rather plainly. There are no real interesting pose combinations, not much in the way of inspiring commentary, and the scenery and the filming doesn't add anything.If you want to try a great disc, try Eion's Yoga for Happiness-it's my favorite! His latest Blissology 6 DVD series is also excellent. I imagine this disc might be OK for someone new to yoga."
__label__2,"Equisite recording with only one drawback: This is clearly a 5-star performance. One of the best and most striking I have ever heard. Clearly deserving of all of its accolades and rave reviews. The ONLY drawback is this CD is very skimpy at about 45 minutes. I would typically expect an hour or more of music on a CD.I'm still very happy with this purchase, but if I found another recording as good as this one (which would take some doing) that included a few more pieces, I might opt for that one. Kocsis, Gieseking (if the mono doesn't bother you) or Roge, for example?"
__label__1,JUNK: Do not buy! I bought these twice and had them replaced twice. Never again. The Evans Dot drum head is much better.
__label__2,"Love or Hate: As previous costumers have either loved it or hate it philosophy, toward this game, one must realize that the manufacture describes the minimum and the recommended system to run this particular software is preformance, I would lean toward more the higher end, than the lower, even though some people may that the same enjoyment. Also I would place or install it on a partition that different than my OS was operating on; meaning ""D:/"" or etc. This could prevent some problems which other have had previously mentioned. Other that being a zombie isn't that bad only thing that there is no score or reward for eating the victim's brains or beating them senseless. It's a B-movie theme and hold to true with the ""B"" meaning BAD, either in a good perspective or actually bad. Enjoy."
